station_name,date,pm25,pm25_aqi
Anand Vihar,01/07/2015,69.82432432432432,132.74774774774775
Anand Vihar,02/07/2015,100.27173913043478,234.23913043478262
Anand Vihar,03/07/2015,73.70930232558139,145.69767441860463
Anand Vihar,04/07/2015,72.72,142.4
Anand Vihar,05/07/2015,164.3265306122449,334.0973312401884
Anand Vihar,06/07/2015,52.7816091954023,87.96934865900383
Anand Vihar,07/07/2015,58.458333333333336,97.43055555555557
Anand Vihar,08/07/2015,68.29787234042553,127.6595744680851
Anand Vihar,09/07/2015,68.15217391304348,127.17391304347828
Anand Vihar,10/07/2015,60.361702127659576,101.20567375886526
Anand Vihar,11/07/2015,23.486486486486488,39.14414414414415
Anand Vihar,14/07/2015,74.94285714285714,149.8095238095238
Anand Vihar,15/07/2015,81.81818181818181,172.72727272727272
Anand Vihar,16/07/2015,81.74226804123711,172.4742268041237
Anand Vihar,17/07/2015,87.47872340425532,191.59574468085106
Anand Vihar,18/07/2015,86.35483870967742,187.84946236559142
Anand Vihar,19/07/2015,84.35820895522389,181.1940298507463
Anand Vihar,20/07/2015,57.03703703703704,95.06172839506173
Anand Vihar,21/07/2015,38.43421052631579,64.05701754385964
Anand Vihar,22/07/2015,44.6063829787234,74.34397163120568
Anand Vihar,23/07/2015,40.755319148936174,67.92553191489363
Anand Vihar,24/07/2015,56.1875,93.64583333333334
Anand Vihar,25/07/2015,50.808510638297875,84.68085106382979
Anand Vihar,26/07/2015,30.294736842105262,50.49122807017544
Anand Vihar,27/07/2015,21.116883116883116,35.1948051948052
Anand Vihar,28/07/2015,18.983050847457626,31.638418079096045
Anand Vihar,29/07/2015,20.63157894736842,34.385964912280706
Anand Vihar,30/07/2015,34.975,58.29166666666667
Anand Vihar,31/07/2015,52.166666666666664,86.94444444444444
Anand Vihar,01/08/2015,57.25925925925926,95.4320987654321
Anand Vihar,02/08/2015,68.53086419753086,128.43621399176953
Anand Vihar,03/08/2015,101.56470588235294,238.54901960784315
Anand Vihar,04/08/2015,86.76744186046511,189.2248062015504
Anand Vihar,05/08/2015,71.56382978723404,138.54609929078015
Anand Vihar,06/08/2015,100.57333333333334,235.24444444444447
Anand Vihar,07/08/2015,80.58241758241758,168.6080586080586
Anand Vihar,08/08/2015,86.09375,186.97916666666669
Anand Vihar,09/08/2015,66.13793103448276,120.45977011494254
Anand Vihar,10/08/2015,123.20833333333333,302.46794871794873
Anand Vihar,11/08/2015,134.15662650602408,310.8897126969416
Anand Vihar,12/08/2015,52.23529411764706,87.05882352941177
Anand Vihar,13/08/2015,66.77272727272727,122.57575757575756
Anand Vihar,14/08/2015,76.6547619047619,155.515873015873
Anand Vihar,15/08/2015,60.136842105263156,100.45614035087719
Anand Vihar,16/08/2015,84.83116883116882,182.77056277056275
Anand Vihar,17/08/2015,90.7578947368421,202.52631578947367
Anand Vihar,18/08/2015,88.23456790123457,194.11522633744858
Anand Vihar,19/08/2015,49.735632183908045,82.89272030651341
Anand Vihar,20/08/2015,82.0,173.33333333333334
Anand Vihar,21/08/2015,83.765625,179.21875
Anand Vihar,22/08/2015,53.450980392156865,89.08496732026144
Anand Vihar,23/08/2015,59.549019607843135,99.24836601307189
Anand Vihar,24/08/2015,49.92941176470588,83.2156862745098
Anand Vihar,25/08/2015,88.55555555555556,195.1851851851852
Anand Vihar,26/08/2015,97.0,223.33333333333334
Anand Vihar,27/08/2015,95.86075949367088,219.53586497890294
Anand Vihar,28/08/2015,90.1,200.33333333333331
Anand Vihar,29/08/2015,94.22826086956522,214.09420289855072
Anand Vihar,30/08/2015,80.77173913043478,169.23913043478262
Anand Vihar,31/08/2015,69.02352941176471,130.07843137254903
Anand Vihar,01/09/2015,103.68,245.60000000000002
Anand Vihar,02/09/2015,108.06896551724138,260.2298850574713
Anand Vihar,03/09/2015,104.86206896551724,249.54022988505747
Anand Vihar,04/09/2015,105.02083333333333,250.06944444444443
Anand Vihar,05/09/2015,95.85714285714286,219.52380952380955
Anand Vihar,06/09/2015,66.33333333333333,121.1111111111111
Anand Vihar,07/09/2015,70.34782608695652,134.49275362318838
Anand Vihar,08/09/2015,79.29761904761905,164.32539682539684
Anand Vihar,09/09/2015,69.2967032967033,130.989010989011
Anand Vihar,10/09/2015,67.15730337078652,123.85767790262175
Anand Vihar,11/09/2015,80.45652173913044,168.18840579710147
Anand Vihar,12/09/2015,99.5625,231.875
Anand Vihar,13/09/2015,122.41071428571429,301.8543956043956
Anand Vihar,14/09/2015,147.5108695652174,321.16220735785953
Anand Vihar,15/09/2015,119.3012048192771,297.67068273092366
Anand Vihar,16/09/2015,109.80232558139535,266.0077519379845
Anand Vihar,17/09/2015,100.78313253012048,235.9437751004016
