station_name,date,pm25,pm25_aqi
Anand Vihar,27/08/2015,95.86075949367088,219.53586497890294
Anand Vihar,28/08/2015,90.1,200.33333333333331
Anand Vihar,29/08/2015,94.22826086956522,214.09420289855072
Anand Vihar,30/08/2015,80.77173913043478,169.23913043478262
Anand Vihar,31/08/2015,69.02352941176471,130.07843137254903
Anand Vihar,01/09/2015,103.68,245.60000000000002
Anand Vihar,02/09/2015,108.06896551724138,260.2298850574713
Anand Vihar,03/09/2015,104.86206896551724,249.54022988505747
Anand Vihar,04/09/2015,105.02083333333333,250.06944444444443
Anand Vihar,05/09/2015,95.85714285714286,219.52380952380955
Anand Vihar,06/09/2015,66.33333333333333,121.1111111111111
Anand Vihar,07/09/2015,70.34782608695652,134.49275362318838
Anand Vihar,08/09/2015,79.29761904761905,164.32539682539684
Anand Vihar,09/09/2015,69.2967032967033,130.989010989011
Anand Vihar,10/09/2015,67.15730337078652,123.85767790262175
Anand Vihar,11/09/2015,80.45652173913044,168.18840579710147
Anand Vihar,12/09/2015,99.5625,231.875
Anand Vihar,13/09/2015,122.41071428571429,301.8543956043956
Anand Vihar,14/09/2015,147.5108695652174,321.16220735785953
Anand Vihar,15/09/2015,119.3012048192771,297.67068273092366
Anand Vihar,16/09/2015,109.80232558139535,266.0077519379845
Anand Vihar,17/09/2015,100.78313253012048,235.9437751004016
Anand Vihar,18/09/2015,61.34782608695652,104.4927536231884
Anand Vihar,19/09/2015,91.34375,204.47916666666666
Anand Vihar,20/09/2015,77.7127659574468,159.04255319148936
Anand Vihar,21/09/2015,55.83870967741935,93.06451612903226
Anand Vihar,22/09/2015,32.705263157894734,54.508771929824555
Anand Vihar,23/09/2015,38.955555555555556,64.92592592592592
Anand Vihar,24/09/2015,92.18681318681318,207.28937728937728
Anand Vihar,25/09/2015,96.75280898876404,222.50936329588015
Anand Vihar,26/09/2015,103.84210526315789,246.140350877193
Anand Vihar,27/09/2015,106.03125,253.4375
Anand Vihar,28/09/2015,73.68478260869566,145.61594202898553
Anand Vihar,29/09/2015,75.75,152.5
Anand Vihar,30/09/2015,66.82954545454545,122.76515151515152
Anand Vihar,01/10/2015,91.4375,204.79166666666666
Anand Vihar,02/10/2015,97.77083333333333,225.90277777777777
Anand Vihar,03/10/2015,116.97872340425532,289.92907801418437
Anand Vihar,04/10/2015,187.6304347826087,352.02341137123744
Anand Vihar,05/10/2015,285.2395833333333,427.10737179487177
Anand Vihar,06/10/2015,208.96774193548387,368.43672456575683
Anand Vihar,07/10/2015,155.55555555555554,327.35042735042737
Anand Vihar,08/10/2015,192.04705882352943,355.420814479638
Anand Vihar,09/10/2015,196.91666666666666,359.1666666666667
Anand Vihar,10/10/2015,291.16901408450707,431.66847237269775
Anand Vihar,11/10/2015,170.08602150537635,338.5277088502895
Anand Vihar,12/10/2015,163.22340425531914,333.2487725040917
Anand Vihar,13/10/2015,106.67441860465117,255.58139534883722
Anand Vihar,14/10/2015,85.84444444444445,186.14814814814815
Anand Vihar,15/10/2015,128.94565217391303,306.88127090301003
Anand Vihar,16/10/2015,185.2972972972973,350.2286902286902
Anand Vihar,18/10/2015,208.32142857142858,367.93956043956047
Anand Vihar,19/10/2015,235.53191489361703,388.8707037643208
Anand Vihar,20/10/2015,303.6376811594203,441.2597547380156
